"","District Name","Avg Comp","Dist Num"
"1","KELLIHER SCHOOL DIST 36","21.5",36
"2","NORMAN CO WEST ISD 2527","19.2",2527
"3","BUTTERFIELD-ODIN IND SD 836","20.6",836
"4","GRANADA-HUNTLEY-EAST CHAIN SD","18.8",2536
"5","CAMPBELL-TINTAH IND SD 852","15.8",852
"6","GLENVILLE-EMMONS ISD 2886","16.9",2886
"7","LYLE IND SCHOOL DISTRICT 497","21.5",497
"8","CLIMAX-SHELLY IND SCH DIST 592","17.2",592
"9","HANCOCK IND SCH DIST 768","23",768
"10","ASHBY IND SCHOOL DISTRICT 261","19.2",261
"11","LANCASTER IND SCHOOL DIST 356","20.1",356
"12","FISHER IND SCHOOL DISTRICT 600","20.8",600
"13","ULEN-HITTERDAL SCH DIST 914","20.2",914
"14","LAPORTE IND SCHOOL DIST 306","18.7",306
"15","SOUTH KOOCHICHING SD 363","17.9",363
"16","HILL CITY IND SCHOOL DIST 2","17.4",2
"17","TRUMAN SCHOOL DISTRICT 458","16.7",458
"18","NORMAN CO EAST ISD 2215","19.3",2215
"19","CROMWELL-WRIGHT IND SD 95","18.4",95
"20","SWANVILLE SCHOOL DISTRICT 486","17.6",486
"21","BADGER IND SCHOOL DISTRICT 676","21.3",676
"22","FLOODWOOD IND SCHOOL DIST 698","17.8",698
"23","MABEL-CANTON IND SCH DIST 238","19.4",238
"24","OGILVIE IND SCHOOL DIST 333","17.9",333
"25","TRI-COUNTY IND SCH DIST 2358","19.7",2358
"26","LEROY-OSTRANDER IND SD 499","18.7",499
"27","ROTHSAY SCHOOL DISTRICT 850","21",850
"28","NORTHLAND CMTY SD 118","16",118
"29","NICOLLET IND SCHOOL DIST 507","21.8",507
"30","WRENSHALL SCHOOL DISTRICT 100","19.9",100
"31","GREENBUSH-MIDDLE RIVER SD 2683","22.1",2683
"32","WARREN-ALVARADO-OSLO SD 2176","19.3",2176
"33","UPSALA AREA SCHOOL DIST 487","17.4",487
"34","CLNTON-GRACEVL-BRDSLEY SD 2888","19.2",2888
"35","KITTSON CENTRAL SCH DIST 2171","21.3",2171
"36","LITTLEFORK-BIG FALLS SD 362","19.3",362
"37","HENNING IND SCHOOL DIST 545","21.4",545
"38","UNDERWOOD SCHOOL DISTRICT 550","21.7",550
"39","RED LAKE CO CENTRAL ISD 2906","16.6",2906
"40","SEBEKA IND SCHOOL DISTRICT 820","20.1",820
"41","CLEARBROOK-GONVICK SD 2311","18.5",2311
"42","LANESBORO IND SCHOOL DIST 229","20.6",229
"43","SPRING GROVE SCHOOL DIST 297","20.4",297
"44","WAUBUN-OGEMA-WHITE EARTH PSD","19.3",435
"45","FULDA IND SCHOOL DISTRICT 505","18.2",505
"46","EDGERTON IND SCHOOL DIST 581","19.7",581
"47","BUFFALO LAKE-HECTOR-STEWART SD","19.9",2159
"48","MOOSE LAKE IND SCHOOL DIST 97","22",97
"49","MAHNOMEN IND SCHOOL DIST 432","18.6",432
"50","STEPHEN-ARGYLE CENTRAL SD 2856","21.1",2856
"51","ADA-BORUP SCHOOL DISTRICT 2854","21.4",2854
"52","RED LAKE FALLS SCH DIST 630","19.1",630
"53","BRANDON-EVANSVILLE ISD 2908","21.2",2908
"54","WHEATON SCHOOL DISTRICT 803","20.9",803
"55","MCGREGOR IND SCHOOL DIST 4","19.3",4
"56","GOODHUE IND SCHOOL DIST 253","20.8",253
"57","PARKERS PRAIRIE IND SD 547","22.5",547
"58","FERTILE-BELTRAMI IND SD 599","20.7",599
"59","HILLS-BEAVER CREEK IND SD 671","20.7",671
"60","KERKHOVEN-MURDCK-SUNBRG SD 775","20.7",775
"61","WESTBROOK-WALNUT GROVE SD 2898","19.3",2898
"62","KINGSLAND PUBLIC SCH DIST 2137","21",2137
"63","ALDEN-CONGER IND SCH DIST 242","19.9",242
"64","RED ROCK CENTRAL IND SD 2884","21.2",2884
"65","RENVILLE CO WEST SCH DIST 2890","18.8",2890
"66","MOUNTAIN IRON-BUHL ISD 712","19.1",712
"67","CARLTON IND SCHOOL DISTRICT 93","20.6",93
"68","MOUNTAIN LAKE IND SCH DIST 173","19.9",173
"69","NASHWAUK-KEEWATIN IND SD 319","19.4",319
"70","LAKE OF THE WOODS ISD 390","20.1",390
"71","RUSSELL TYLER RUTHTON SD 2902","21.3",2902
"72","GRAND MEADOW PUB SCH DIST 495","19.3",495
"73","MARSHALL CO CENTRAL ISD 441","19.4",441
"74","ROYALTON PUBLIC SCHOOLS","21.5",485
"75","WABASSO SCHOOL DISTRICT 640","21.2",640
"76","ORTONVILLE IND SCH DIST 2903","19.6",2903
"77","SLEEPY EYE SCHOOL DISTRICT 84","21",84
"78","DAWSON-BOYD ISD 378","21.1",378
"79","LESTER PRAIRIE IND SD 424","19.8",424
"80","ADRIAN IND SCHOOL DISTRICT 511","21.3",511
"81","WILLOW RIVER SCHOOL DIST 577","17.4",577
"82","BROWERVILLE IND SCH DIST 787","19.4",787
"83","RUSHFORD-PETERSON ISD 239","22.3",239
"84","HERON LAKE-OKABENA ISD 330","18.7",330
"85","WIN-E-MAC SCHOOL DIST 2609","19.5",2609
"86","CEDAR MOUNTAIN SCH DIST 2754","19.2",2754
"87","BLACKDUCK IND SCHOOL DIST 32","18.7",32
"88","RANDOLPH SCHOOL DISTRICT 195","21.1",195
"89","BATTLE LAKE IND SCH DIST 542","20.2",542
"90","CHISHOLM IND SCHOOL DIST 695","18.3",695
"91","BERTHA-HEWITT IND SCH DIST 786","17.9",786
"92","BLOOMING PRAIRIE IND SD 756","20.5",756
"93","MADELIA IND SCHOOL DIST 837","21.6",837
"94","WALKER-HACKENSACK-AKELEY 113","22",113
"95","CLEVELAND PUBLIC SCH DIST 391","20.9",391
"96","ONAMIA IND SCHOOL DIST 480","18.6",480
"97","NEW YORK MILLS IND SD 553","19.7",553
"98","KIMBALL IND SCHOOL DIST 739","22.6",739
"99","MENAHGA IND SCHOOL DIST 821","19.6",821
"100","EAST CENTRAL ISD 2580","18",2580
"101","ELY IND SCHOOL DISTRICT 696","23",696
"102","VERNDALE IND SCHOOL DIST 818","17.9",818
"103","RED LAKE INDEPENDENT SD 38","14.6",38
"104","MACCRAY IND SCHOOL DIST 2180","19.1",2180
"105","MURRAY CO CENTRAL ISD 2169","21.2",2169
"106","LONG PRAIRIE-GREY EAGLE 2753","21",2753
"107","LEWISTON-ALTURA ISD 857","20",857
"108","NEVIS IND SCHOOL DISTRICT 308","19",308
"109","HINCKLEY-FINLAYSON PSD 2165","20.4",2165
"110","LAKE PARK-AUDUBON ISD 2889","19.3",2889
"111","DEER RIVER IND SCHOOL DIST 317","18.3",317
"112","MINNEOTA PUBLIC SCHOOLS","20.8",414
"113","ST CLAIR SCHOOL DISTRICT 75","21.3",75
"114","PINE RIVER-BACKUS IND SD 2174","20.3",2174
"115","CASS LAKE-BENA IND SD 115","14",115
"116","ATWATER-COSMOS-GROVE CITY SD","20.5",2396
"117","SPRINGFIELD SCHOOL DISTRICT 85","21.6",85
"118","UNITED SOUTH CENTRAL ISD 2134","20.5",2134
"119","WATRVLE-ELYSIAN-MRSTWN SD 2143","19.1",2143
"120","BOLD SCHOOL DISTRICT","20.8",2534
"121","PIPESTONE AREA SCH DIST 2689","20.6",2689
"122","BENSON IND SCHOOL DISTRICT 777","17.4",777
"123","WABASHA-KELLOGG ISD 811","21.8",811
"124","CANBY IND SCHOOL DISTRICT 891","19.7",891
"125","COOK CO SCH DIST 166","20.9",166
"126","BRAHAM IND SCHOOL DISTRICT 314","19.5",314
"127","TRACY IND SCHOOL DISTRICT 2904","21",2904
