Analysis Level,District Name,ACT Dist Code,HS Name,ACT HS Code,Grad Year,N,Avg Eng,Avg Math,Avg Reading,Avg Sci,Avg Comp,CRB % Eng,CRB % Math,CRB % Reading,CRB % Sci,CRB % All Four
School,ADA-BORUP SCHOOL DISTRICT 2854,247550,ADA-BORUP HIGH SCHOOL,240000,2015,28,21.1,21.2,22.5,21.9,21.9,79,46,61,46,29
School,ADA-BORUP SCHOOL DISTRICT 2854,247550,ADA-BORUP HIGH SCHOOL,240000,2016,40,20.6,20.6,21.6,21.4,21.2,68,40,48,33,18
School,ADA-BORUP SCHOOL DISTRICT 2854,247550,ADA-BORUP HIGH SCHOOL,240000,2017,24,20.3,20,22.3,21.8,21.2,67,38,33,42,29
School,ADA-BORUP SCHOOL DISTRICT 2854,247550,ADA-BORUP HIGH SCHOOL,240000,2018,27,21.3,21.3,22.3,20.4,21.4,70,48,48,33,30
School,ADA-BORUP SCHOOL DISTRICT 2854,247550,ADA-BORUP HIGH SCHOOL,240000,2019,28,22.1,20.9,22.6,22.6,22.1,79,43,54,46,29
School,MINNESOTA DEPT OF EDUCATION,24S000,CROSSLAKE COMMUNITY SCHOOL,240001,2015,0,.,.,.,.,.,.,.,.,.,.
School,MINNESOTA DEPT OF EDUCATION,24S000,CROSSLAKE COMMUNITY SCHOOL,240001,2016,0,.,.,.,.,.,.,.,.,.,.
School,MINNESOTA DEPT OF EDUCATION,24S000,CROSSLAKE COMMUNITY SCHOOL,240001,2017,8,.,.,.,.,.,.,.,.,.,.
School,MINNESOTA DEPT OF EDUCATION,24S000,CROSSLAKE COMMUNITY SCHOOL,240001,2018,7,.,.,.,.,.,.,.,.,.,.
School,MINNESOTA DEPT OF EDUCATION,24S000,CROSSLAKE COMMUNITY SCHOOL,240001,2019,5,.,.,.,.,.,.,.,.,.,.
School,ROSEMOUNT-APPLE VLY-EAGAN 196,247180,DAKOTA RIDGE SCHOOL,240002,2015,0,.,.,.,.,.,.,.,.,.,.
School,ROSEMOUNT-APPLE VLY-EAGAN 196,247180,DAKOTA RIDGE SCHOOL,240002,2016,0,.,.,.,.,.,.,.,.,.,.
School,ROSEMOUNT-APPLE VLY-EAGAN 196,247180,DAKOTA RIDGE SCHOOL,240002,2017,0,.,.,.,.,.,.,.,.,.,.
School,ROSEMOUNT-APPLE VLY-EAGAN 196,247180,DAKOTA RIDGE SCHOOL,240002,2018,7,.,.,.,.,.,.,.,.,.,.
School,ROSEMOUNT-APPLE VLY-EAGAN 196,247180,DAKOTA RIDGE SCHOOL,240002,2019,1,.,.,.,.,.,.,.,.,.,.
School,SPRING LAKE PARK SD 16,247018,LIGHTHOUSE SCHOOL,240004,2015,0,.,.,.,.,.,.,.,.,.,.
School,SPRING LAKE PARK SD 16,247018,LIGHTHOUSE SCHOOL,240004,2016,0,.,.,.,.,.,.,.,.,.,.
School,SPRING LAKE PARK SD 16,247018,LIGHTHOUSE SCHOOL,240004,2017,0,.,.,.,.,.,.,.,.,.,.
School,SPRING LAKE PARK SD 16,247018,LIGHTHOUSE SCHOOL,240004,2018,4,.,.,.,.,.,.,.,.,.,.
School,SPRING LAKE PARK SD 16,247018,LIGHTHOUSE SCHOOL,240004,2019,5,.,.,.,.,.,.,.,.,.,.
School,SOUTHLAND SCHOOL DISTRICT 500,247524,SOUTHLAND SENIOR HIGH SCHOOL,240005,2015,30,18.1,21.6,19.6,22,20.6,47,47,30,43,20
School,SOUTHLAND SCHOOL DISTRICT 500,247524,SOUTHLAND SENIOR HIGH SCHOOL,240005,2016,48,18.5,21.4,20.3,21,20.4,54,54,38,40,23
School,SOUTHLAND SCHOOL DISTRICT 500,247524,SOUTHLAND SENIOR HIGH SCHOOL,240005,2017,48,17.5,19.9,19.1,20.5,19.3,40,35,29,29,13
School,SOUTHLAND SCHOOL DISTRICT 500,247524,SOUTHLAND SENIOR HIGH SCHOOL,240005,2018,50,17.8,20.4,19.8,21,19.9,46,36,36,34,14
School,SOUTHLAND SCHOOL DISTRICT 500,247524,SOUTHLAND SENIOR HIGH SCHOOL,240005,2019,36,15.9,20.4,19,20.8,19.1,36,44,22,33,22
School,ADRIAN IND SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2015,26,20.9,22.2,21.8,22.2,22,73,65,46,46,35
School,ADRIAN IND SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2016,44,19.8,20.9,20.1,21.3,20.7,64,48,30,43,23
School,ADRIAN IND SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2017,41,21,20.6,22,21.1,21.2,76,41,49,32,24
School,ADRIAN IND SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2018,34,20.8,21.8,21.2,20.8,21.3,62,47,47,35,26
School,ADRIAN IND SCHOOL DISTRICT 511,247544,ADRIAN HIGH SCHOOL,240010,2019,49,19.9,20,20.4,20.7,20.4,63,39,33,33,18
School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2015,43,22.1,23.8,24.2,22.9,23.4,77,72,63,56,51
School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2016,94,18.1,21.1,19.4,19.7,19.7,53,45,33,24,15
School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2017,86,19,22.5,21.7,21,21.2,56,56,51,41,33
School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2018,83,17.7,20.7,20.2,20.1,19.8,41,40,36,29,17
School,AITKIN IND SCHOOL DISTRICT 1,247002,AITKIN HIGH SCHOOL,240020,2019,78,18.2,21,19.3,19.6,19.6,54,47,33,29,22
School,ALBANY AREA SCH DISTRICT 745,247788,ALBANY AREA HIGH SCHOOL,240030,2015,86,20.7,22.6,21.1,21.7,21.6,71,63,48,40,30
School,ALBANY AREA SCH DISTRICT 745,247788,ALBANY AREA HIGH SCHOOL,240030,2016,120,19.6,21.8,21.4,21.4,21.2,64,53,42,40,23
School,ALBANY AREA SCH DISTRICT 745,247788,ALBANY AREA HIGH SCHOOL,240030,2017,106,20.7,22.5,22.2,22.1,22,73,61,57,45,35
School,ALBANY AREA SCH DISTRICT 745,247788,ALBANY AREA HIGH SCHOOL,240030,2018,112,18.8,21.7,20.3,21.4,20.6,57,56,39,37,21
School,ALBANY AREA SCH DISTRICT 745,247788,ALBANY AREA HIGH SCHOOL,240030,2019,107,19.1,22.2,20.8,21.9,21.1,57,57,39,41,22
School,CHOKIO-ALBERTA IND SD 771,247822,CHOKIO-ALBERTA PUBLIC SCHOOL,240035,2015,7,.,.,.,.,.,.,.,.,.,.
School,CHOKIO-ALBERTA IND SD 771,247822,CHOKIO-ALBERTA PUBLIC SCHOOL,240035,2016,20,18.6,20.8,19.7,20.5,20.1,50,40,30,35,20
School,CHOKIO-ALBERTA IND SD 771,247822,CHOKIO-ALBERTA PUBLIC SCHOOL,240035,2017,10,18,18.7,19.8,19.6,19.1,50,40,60,40,30
School,CHOKIO-ALBERTA IND SD 771,247822,CHOKIO-ALBERTA PUBLIC SCHOOL,240035,2018,8,.,.,.,.,.,.,.,.,.,.
School,CHOKIO-ALBERTA IND SD 771,247822,CHOKIO-ALBERTA PUBLIC SCHOOL,240035,2019,7,.,.,.,.,.,.,.,.,.,.
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2015,124,20.1,22.3,22,21.8,21.7,65,58,50,48,34
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2016,208,18,20,20,19.8,19.6,52,37,35,26,18
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2017,169,18.8,20.2,21.1,20.3,20.2,52,38,43,36,27
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2018,225,17.8,20,19.8,19.9,19.5,49,34,32,30,17
School,ALBERT LEA AREA SCHOOLS,247246,ALBERT LEA SENIOR HIGH SCHOOL,240040,2019,192,17.8,19.5,19.2,19.3,19.1,45,33,32,24,17
School,ALDEN-CONGER IND SCH DIST 242,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2015,20,21.1,22.1,24,22.8,22.5,85,60,65,60,40
School,ALDEN-CONGER IND SCH DIST 242,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2016,35,19.6,21.3,21.2,22,21.1,63,49,49,49,34
School,ALDEN-CONGER IND SCH DIST 242,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2017,36,18.3,20.2,19.9,20.1,19.7,53,39,33,31,19
School,ALDEN-CONGER IND SCH DIST 242,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2018,30,17.8,20,21,20.4,19.9,40,40,40,47,27
School,ALDEN-CONGER IND SCH DIST 242,247248,ALDEN-CONGER PUBLIC SCHOOL,240050,2019,28,18.4,18.9,19.7,19.6,19.2,57,32,29,29,14
School,ALEXANDRIA IND SCHOOL DIST 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2015,190,22,23.8,22.8,23.4,23.1,76,69,54,55,37
School,ALEXANDRIA IND SCHOOL DIST 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2016,271,19.7,21.5,21.4,21.5,21.1,63,49,48,40,30
School,ALEXANDRIA IND SCHOOL DIST 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2017,276,19.9,21.7,21.6,21.5,21.3,59,47,45,40,26
School,ALEXANDRIA IND SCHOOL DIST 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2018,295,19.7,21.6,21.4,21.4,21.1,59,50,48,42,28
School,ALEXANDRIA IND SCHOOL DIST 206,247200,ALEXANDRIA AREA HIGH SCHOOL,240055,2019,254,20.2,21.4,21.3,21.9,21.3,61,48,49,44,32
School,ANOKA-HENNEPIN IND SCH DIST 11,247008,ANDOVER HIGH SCHOOL,240070,2015,328,22.2,23.5,23.9,23.6,23.4,77,65,64,56,42
School,ANOKA-HENNEPIN IND SCH DIST 11,247008,ANDOVER HIGH SCHOOL,240070,2016,401,20.2,21.8,22.2,22.2,21.8,65,50,50,48,34
School,ANOKA-HENNEPIN IND SCH DIST 11,247008,ANDOVER HIGH SCHOOL,240070,2017,379,20.7,22.3,22.5,22.8,22.3,68,53,56,53,35
School,ANOKA-HENNEPIN IND SCH DIST 11,247008,ANDOVER HIGH SCHOOL,240070,2018,423,20.8,22.3,22.4,22.3,22.1,67,52,52,49,33
School,ANOKA-HENNEPIN IND SCH DIST 11,247008,ANDOVER HIGH SCHOOL,240070,2019,426,20,22,21.9,22.3,21.7,61,50,49,45,31
