District Nbr,District Name,
0001,Aitkin Public School District,
0002,Hill City Public School District,
0004,McGregor Public School District,
0006,South St. Paul Public School District,
0011,Anoka-Hennepin Public School District,
0012,Centennial Public School District,
0013,Columbia Heights Public School District,
0014,Fridley Public School District,
0015,St. Francis Public School District,
0016,Spring Lake Park Public Schools,
0021,Audubon,
0022,Detroit Lakes Public School District,
0023,Frazee-Vergas Public School District,
0024,Lake Park,
0025,Pine Point Public School District,
0031,Bemidji Public School District,
0032,Blackduck Public School District,
0036,Kelliher Public School District,
0038,Red Lake Public School District,
0047,Sauk Rapids-Rice Public Schools,
0051,Foley Public School District,
0062,Ortonville Public School District,
0075,St. Clair Public School District,
0077,Mankato Public School District,
0081,Comfrey Public School District,
0084,Sleepy Eye Public School District,
0085,Springfield Public School District,
0088,New Ulm Public School District,
0091,Barnum Public School District,
0093,Carlton Public School District,
0094,Cloquet Public School District,
0095,Cromwell-Wright Public Schools,
0097,Moose Lake Public School District,
0099,Esko Public School District,
0100,Wrenshall Public School District,
0108,Central Public School District,
0110,Waconia Public School District,
0111,Watertown-Mayer Public School District,
0112,Eastern Carver County Public Schools,
0113,Walker-Hackensack-Akeley School District,
0115,Cass Lake-Bena Public Schools,
0116,Pillager Public School District,
0118,Northland Community Schools,
0129,Montevideo Public School District,
0138,North Branch Public Schools,
0139,Rush City Public School District,
0146,Barnesville Public School District,
0150,Hawley Public School District,
0152,Moorhead Public School District,
0160,Minnesota State Academies,
0162,Bagley Public School District,
0166,Cook County Public Schools,
0173,Mountain Lake Public Schools,
0175,Westbrook,
0177,Windom Public School District,
0181,Brainerd Public School District,
0182,Crosby-Ironton Public School District,
0186,Pequot Lakes Public Schools,
0191,Burnsville Public School District,
0192,Farmington Public School District,
0194,Lakeville Public School District,
0195,Randolph Public School District,
0196,Rosemount-Apple Valley-Eagan,
0197,West St. Paul-Mendota Heights-Eagan,
0199,Inver Grove Heights Schools,
0200,Hastings Public School District,
0203,Hayfield Public School District,
0204,Kasson-Mantorville School District,
0206,Alexandria Public School District,
0207,Brandon Public School District,
0208,Evansville Public School District,
0213,Osakis Public School District,
0227,Chatfield Public Schools,
0229,Lanesboro Public School District,
0238,Mabel-Canton Public School District,
0239,Rushford-Peterson Public Schools,
0241,Albert Lea Public School District,
0242,Alden-Conger Public School District,
0252,Cannon Falls Public School District,
0253,Goodhue Public School District,
0255,Pine Island Public School District,
0256,Red Wing Public School District,
0261,Ashby Public School District,
0264,Herman-Norcross School District,
0270,Hopkins Public School District,
0271,Bloomington Public School District,
0272,Eden Prairie Public School District,
0273,Edina Public School District,
0276,Minnetonka Public School District,
0277,Westonka Public School District,
0278,Orono Public School District,
0279,Osseo Public School District,
0280,Richfield Public School District,
0281,Robbinsdale Public School District,
0282,St. Anthony-New Brighton Schools,
0283,St. Louis Park Public School District,
0284,Wayzata Public School District,
0286,Brooklyn Center School District,
0287,Intermediate School District 287,
0294,Houston Public School District,
0297,Spring Grove School District,
0299,Caledonia Public School District,
0300,La Crescent-Hokah School District,
0306,Laporte Public School District,
0308,Nevis Public School District,
0309,Park Rapids Public School District,
0314,Braham Public School District,
0316,Greenway Public School District,
0317,Deer River Public School District,
0318,Grand Rapids Public School District,
0319,Nashwauk-Keewatin School District,
0323,Franconia Public School District,
0328,Sioux Valley,
0330,Heron Lake-Okabena School District,
0332,Mora Public School District,
0333,Ogilvie Public School District,
0345,New London-Spicer School District,
0347,Willmar Public School District,
0356,Lancaster Public School District,
0361,International Falls School District,
0362,Littlefork-Big Falls School District,
0363,South Koochiching School District,
0371,Bellingham Public School District,
0378,Dawson-Boyd Public School District,
0381,Lake Superior Public School District,
0382,Northwest Rgn Intrdst Council,
0390,Lake of the Woods School District,
0391,Cleveland Public School District,
