GEOID,male_5to9,male_10to14,male_15to17,total_pop,race_white_only,race_Black_only,race_Asian_only,race_pacific_islander_only,at_least_two_races,SSI_pubassist_foodstamps,med_household_inc_12mo,house_units_w_mortgage,med_gross_rent,comp_internet_subscrip_in_house,District,District Nbr
"2700001",146,104,91,4545,4251,63,81,0,104,835,50550,1498,625,2108,Mountain Iron-Buhl School District,"0712"
"2700005",220,160,126,5790,5517,10,43,0,154,1407,53699,2061,640,2452,United South Central School District,"2134"
"2700006",207,180,133,5991,5802,26,17,0,137,1430,64451,1945,636,2423,Maple River School District,"2135"
"2700007",133,176,91,5023,4773,7,66,0,133,1118,59087,1802,675,2166,Kingsland Public School District,"2137"
"2700008",370,493,239,17435,15739,71,49,19,604,2851,57221,7021,709,8015,St. Louis County School District,"2142"
"2700013",176,201,93,6707,6560,21,12,3,70,1367,67444,2266,769,2738,Waterville-Elysian-Morristown Public School District,"2143"
"2700017",625,991,530,21544,20774,40,230,0,369,4978,88003,7101,929,8263,Chisago Lakes School District,"2144"
"2700019",344,272,179,9502,9195,32,54,0,126,1967,61484,3308,616,4311,Minnewaska School District,"2149"
"2700021",241,252,132,8811,8626,30,12,0,111,1733,56009,3032,677,3931,Eveleth-Gilbert School District,"2154"
"2700022",266,237,144,7953,7532,68,0,0,183,2073,44847,2355,670,3269,Wadena-Deer Creek School District,"2155"
"2700023",110,114,85,3706,3443,22,6,0,34,763,56515,1304,664,1628,Buffalo Lake-Hector-Stewart Public Schools,"2159"
"2700024",124,173,38,3732,3530,23,7,0,49,923,61103,1181,644,1566,Warren-Alvarado-Oslo School District,"2176"
"2700088",92,119,60,2812,2652,17,39,0,14,774,62353,894,561,1096,Lakeview School District,"2167"
"2700089",132,187,130,5006,4853,36,33,0,42,1096,60731,1680,675,2089,NRHEG School District,"2168"
"2700090",168,134,103,4665,4536,24,35,0,40,985,57361,1663,535,2111,Murray County Central School District,"2169"
"2700091",232,160,70,4672,4380,7,31,0,80,1266,64228,1397,695,1820,M.A.C.C.R.A.Y. School District,"2180"
"2700099",185,233,159,6727,6010,41,25,0,151,1600,59558,2076,611,2777,Yellow Medicine East,"2190"
"2700100",196,194,74,4847,4776,8,16,1,40,1270,59263,1533,589,1995,Fillmore Central,"2198"
"2700101",63,72,60,2101,1957,34,14,0,49,489,59286,743,640,876,Norman County East School District,"2215"
"2700102",292,298,193,7595,7175,102,81,2,70,1778,62706,2379,716,3086,Sibley East School District,"2310"
"2700103",98,91,51,2665,2468,0,25,0,110,597,49178,945,545,1099,Clearbrook-Gonvick School District,"2311"
"2700104",143,167,90,5044,4882,9,5,2,126,1114,57347,1784,645,2206,West Central Area,"2342"
"2700105",135,168,105,4530,4255,63,22,0,64,1058,56905,1417,729,1756,Belgrade-Brooten-Elrosa Public School District,"2364"
"2700106",178,220,116,5730,5618,5,12,0,73,1280,60640,1983,737,2395,A.C.G.C. Public School District,"2396"
"2700107",88,116,45,2702,2574,80,1,9,29,654,54178,925,532,1079,Greenbush-Middle River School District,"2683"
"2700108",243,239,167,7036,6354,124,11,0,242,1687,51250,2305,547,3130,Pipestone Area School District,"2689"
"2700109",391,279,174,8522,7677,74,114,0,137,2170,50565,2639,674,3348,Long Prairie-Grey Eagle School District,"2753"
"2700110",60,143,57,2361,2152,39,1,0,75,552,55729,748,564,949,Cedar Mountain School District,"2754"
"2700123",306,292,145,8582,8288,90,39,0,108,2085,69032,2669,785,3450,Howard Lake-Waverly-Winsted,"2687"
"2700124",609,345,230,12212,11657,59,99,0,187,2673,49325,3847,622,5485,Fairmont Area School District,"2752"
"2700125",208,149,91,6251,5743,57,45,192,85,1218,50000,2276,538,2972,Lac Qui Parle Valley School District,"2853"
"2700126",110,101,30,2573,2381,7,3,0,65,648,58185,819,490,1053,Ada-Borup Public School District,"2854"
"2700127",70,34,66,1946,1897,0,17,0,30,478,69643,669,636,786,Stephen-Argyle Central Schools,"2856"
"2700128",396,429,356,12711,11699,108,16,0,233,3095,62270,4095,695,4926,Glencoe-Silver Lake School District,"2859"
"2700130",212,262,167,7659,7478,25,8,0,44,1523,52287,2589,578,3533,Blue Earth Area Public Schools,"2860"
"2700132",79,97,64,3197,3058,9,14,0,42,701,57950,1186,580,1395,Red Rock Central School District,"2884"
"2700148",72,71,31,2618,2546,4,25,0,37,510,57188,964,587,1111,Glenville-Emmons School District,"2886"
"2700150",59,51,26,2282,2258,3,0,0,0,521,54250,763,632,986,Clinton-Graceville-Beardsley,"2888"
"2700162",144,137,97,5122,4857,10,15,3,103,1120,68352,1916,671,2120,Lake Park Audubon School District,"2889"
"2700163",184,155,79,4181,3698,1,32,0,21,1142,62218,1333,648,1627,Renville County West School District,"2890"
"2700182",240,318,175,7996,6709,49,69,0,175,2003,52574,2430,708,3287,Redwood Area School District,"2897"
"2700183",83,93,57,2807,2477,3,296,0,9,613,57500,964,491,1178,Westbrook-Walnut Grove Schools,"2898"
"2700231",170,254,139,7404,6975,39,195,0,133,1520,57138,2715,725,3378,Jackson County Central School District,"2895"
"2700287",257,307,166,7913,7767,23,33,0,38,1967,71685,2476,621,3143,Plainview-Elgin-Millville,"2899"
"2700294",203,133,55,3610,3510,9,30,0,40,972,60357,1195,661,1444,RTR Public Schools,"2902"
"2700326",165,169,61,5301,4911,1,215,0,84,1265,57688,1806,611,2191,Tracy Area Public School District,"2904"
"2700328",84,92,66,3404,3259,0,9,0,89,638,54239,1169,571,1626,Ortonville Public Schools,"2903"
