Category,Course Type,District,Region,Local Course,AP/IB/PLTW/DCE/OLL,Standard,Course Level,College Relationship(s),Fullfills Grad Req
A - Computer Literacy,10001 - Introduction to Computers,A.C.G.C. PUBLIC SCHOOL DISTRICT 2396-01,06E,225 Coding I,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ANNANDALE PUBLIC SCHOOL DISTRICT 0876-01,07W,018 Computer Ess 1,N/A,NONE_ADDRESSED,ARTICULATED,SAINT CLOUD TECHNICAL COLLEGE AND COMMUN,No
A - Computer Literacy,10001 - Introduction to Computers,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 0011-01,11,47891 ComputerExpl8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 0011-01,11,47892 ComputerExpl8,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,ANOKA-HENNEPIN PUBLIC SCHOOL DIST. 0011-01,11,70305 IntroToComputers,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BAGLEY PUBLIC SCHOOL DISTRICT 0162-01,2,2855 Intro to Computers,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BARNESVILLE PUBLIC SCHOOL DIST. 0146-01,4,043 Technology - 3 - Bomstad,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BARNESVILLE PUBLIC SCHOOL DIST. 0146-01,4,044 Technology - 3 - Tonsfeldt,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BARNESVILLE PUBLIC SCHOOL DIST. 0146-01,4,046 Technology - 3 - Haj,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BIG LAKE PUBLIC SCHOOL DISTRICT 0727-01,07W,7740 Computer 7,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BLACKDUCK PUBLIC SCHOOL DISTRICT 0032-01,2,10584 Intro to Computers OCHS,DCE,NONE_ADDRESSED,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10001 - Introduction to Computers,BRANDON-EVANSVILLE PUBLIC SCHOOLS 2908-01,4,ATC25 ITEC1430 - INTRO TO COMPUTER,DCE,LOCAL,DUAL,ALEXANDRIA TECHNICAL COLLEGE,No
A - Computer Literacy,10001 - Introduction to Computers,BROOKLYN CENTER SCHOOL DISTRICT 0286-01,11,IS0029 Comp Fun A,OLL,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BROOKLYN CENTER SCHOOL DISTRICT 0286-01,11,IS0030 Comp Fun B,OLL,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,BROOKLYN CENTER SCHOOL DISTRICT 0286-01,11,ISMS44 MS Computer Fundamentals,OLL,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CANBY PUBLIC SCHOOL DISTRICT 0891-01,06W,111 Computer 7,N/A,LOCAL,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. 0771-01,4,7801 Word Processing,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CHOKIO-ALBERTA PUBLIC SCHOOL DIST. 0771-01,4,9007 Keyboarding 7,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CLOQUET PUBLIC SCHOOL DISTRICT 0094-01,3,2030 Computer Applications,N/A,COMBINATION,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,COOK COUNTY PUBLIC SCHOOLS 0166-01,3,166 Keyboard 6,N/A,NONE_ADDRESSED,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CROOKSTON PUBLIC SCHOOL DISTRICT 0593-01,1,090CMP 7 COMPUTER 7 CAPE,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CROOKSTON PUBLIC SCHOOL DISTRICT 0593-01,1,090CMP 9 COMPUTER 9 CCAT,N/A,STATE,GENERAL,,No
A - Computer Literacy,10001 - Introduction to Computers,CROOKSTON PUBLIC SCHOOL DISTRICT 0593-01,1,090COMP 7 COMPUTER 7 FCAT,N/A,STATE,GENERAL,,No
