"","DistNum","TotalClasses","NumCat"
"1",1,3,2
"2",2,1,1
"3",4,2,2
"4",6,4,2
"5",11,43,6
"6",12,8,2
"7",13,1,1
"8",14,2,2
"9",15,2,2
"10",16,5,2
"11",22,5,1
"12",31,1,1
"13",32,2,2
"14",38,6,2
"15",47,1,1
"16",77,6,2
"17",81,3,1
"18",91,5,2
"19",94,6,3
"20",95,1,1
"21",99,1,1
"22",108,5,3
"23",110,12,5
"24",111,11,3
"25",112,21,5
"26",116,12,5
"27",118,1,1
"28",129,7,2
"29",138,13,4
"30",146,4,1
"31",150,2,2
"32",152,6,3
"33",162,12,2
"34",166,2,1
"35",177,9,4
"36",181,3,2
"37",186,6,2
"38",191,19,5
"39",192,10,4
"40",194,4,2
"41",196,45,4
"42",197,10,3
"43",199,15,4
"44",200,5,2
"45",203,7,2
"46",204,5,3
"47",206,13,3
"48",213,7,2
"49",227,2,1
"50",238,3,2
"51",239,1,1
"52",241,8,3
"53",242,3,1
"54",252,5,3
"55",253,4,2
"56",255,2,2
"57",256,4,2
"58",264,7,2
"59",270,7,3
"60",271,24,6
"61",272,15,4
"62",273,4,1
"63",276,19,3
"64",277,6,3
"65",278,9,4
"66",279,18,3
"67",280,6,2
"68",281,11,5
"69",283,4,2
"70",284,21,5
"71",286,16,3
"72",287,28,3
"73",288,4,4
"74",300,2,2
"75",306,2,2
"76",308,1,1
"77",309,4,2
"78",314,1,1
"79",316,6,3
"80",317,3,2
"81",318,17,4
"82",319,2,1
"83",332,12,2
"84",333,2,2
"85",345,4,2
"86",347,4,3
"87",356,2,2
"88",361,3,2
"89",378,2,2
"90",381,1,1
"91",390,6,1
"92",391,4,1
"93",402,1,1
"94",413,17,5
"95",423,4,3
"96",424,5,2
"97",432,4,2
"98",435,4,2
"99",447,9,5
"100",458,2,2
"101",463,6,1
"102",466,4,1
"103",477,11,3
"104",482,3,2
"105",484,7,2
"106",485,3,1
"107",492,4,2
"108",500,12,2
"109",508,4,3
"110",511,5,1
"111",518,17,3
"112",531,1,1
"113",533,2,1
"114",535,13,3
"115",542,3,3
"116",544,6,3
"117",545,2,1
"118",547,1,1
"119",548,4,2
"120",549,6,3
"121",550,6,4
"122",553,7,4
"123",561,6,2
"124",564,12,4
"125",578,2,1
"126",581,1,1
"127",593,5,2
"128",595,2,2
"129",599,6,2
"130",601,2,1
"131",621,11,4
"132",622,12,4
"133",623,15,3
"134",624,7,4
"135",625,54,5
"136",630,4,2
"137",656,3,2
"138",659,5,2
"139",671,2,2
"140",682,4,2
"141",690,6,2
"142",696,1,1
"143",698,2,1
"144",700,4,2
"145",704,4,3
"146",706,6,3
"147",709,6,2
"148",716,6,3
"149",717,9,4
"150",719,11,4
"151",720,9,3
"152",726,2,2
"153",727,11,4
"154",728,4,3
"155",738,3,2
"156",739,1,1
"157",741,2,2
"158",742,21,4
"159",743,3,2
"160",745,1,1
"161",748,6,2
"162",750,2,2
"163",756,2,1
"164",761,5,2
"165",763,1,1
"166",768,6,2
"167",771,5,3
"168",775,3,3
"169",786,2,1
"170",787,3,2
"171",811,13,3
"172",818,4,1
"173",820,3,3
"174",831,5,3
"175",832,4,2
"176",834,5,3
"177",837,12,3
"178",840,5,1
"179",850,5,2
"180",852,4,2
"181",861,4,3
"182",876,4,2
"183",877,8,3
"184",879,2,1
"185",881,1,1
"186",882,7,3
"187",885,5,3
"188",891,5,4
"189",911,1,1
"190",912,11,3
"191",917,4,3
"192",938,2,1
"193",2071,4,2
"194",2134,1,1
"195",2135,6,3
"196",2137,9,1
"197",2142,7,2
"198",2143,6,1
"199",2144,12,3
"200",2149,7,3
"201",2154,2,2
"202",2155,3,2
"203",2164,5,2
"204",2167,12,4
"205",2169,7,2
"206",2170,4,2
"207",2171,8,2
"208",2172,3,2
"209",2174,2,2
"210",2176,9,2
"211",2180,3,3
"212",2198,2,1
"213",2215,4,3
"214",2310,4,2
"215",2311,5,1
"216",2342,3,2
"217",2358,7,3
"218",2396,5,3
"219",2609,4,1
"220",2687,5,2
"221",2689,4,1
"222",2711,2,1
"223",2752,4,2
"224",2769,2,1
"225",2835,1,1
"226",2853,2,1
"227",2854,13,4
"228",2856,2,2
"229",2860,5,3
"230",2884,3,1
"231",2888,2,2
"232",2889,19,4
"233",2890,5,2
"234",2895,2,1
"235",2897,2,1
"236",2898,1,1
"237",2899,2,1
"238",2904,3,2
"239",2905,9,2
"240",2906,8,4
"241",2908,9,3
"242",4008,6,2
"243",4015,3,2
"244",4017,22,3
"245",4082,2,1
"246",4095,4,2
"247",4119,1,1
"248",4120,1,1
"249",4159,7,1
"250",4160,4,1
"251",4164,1,1
"252",4170,2,1
"253",4194,9,1
"254",4199,1,1
"255",4200,4,2
"256",4218,1,1
"257",4224,2,1
"258",6004,1,1
"259",6012,3,1
"260",6014,2,2
"261",6018,4,1
"262",6051,2,1
"263",6076,1,1
