"","GEOID","District","District.Nbr","male_5to9","male_10to14","male_15to17","total_pop","race_white_only","race_Black_only","race_Asian_only","race_pacific_islander_only","at_least_two_races","SSI_pubassist_foodstamps","med_household_inc_12mo","house_units_w_mortgage","med_gross_rent","comp_internet_subscrip_in_house","CONUM","CSA","CBSA","ENROLL","TOTALREV","TFEDREV","FEDRCOMP","FEDRSPEC","FEDRNUTR","FEDROTHR","TSTREV","STRFORM","STRSPEC","STRTRANS","STROTHR","TLOCREV","LOCRTAX","LOCRPROP","LOCRPAR","LOCRCICO","LOCROSCH","LOCRCHAR","LOCROTHR","TOTALEXP","TCURSPND","TSALWAGE","TEMPBENE","TCURINST","TCURISAL","TCURIBEN","TCURSSVC","TCURSPUP","TCURSSTA","TCURSGEN","TCURSSCH","TCURSOTH","TCURONON","TCAPOUT","TPAYOTH","TINTRST","DEBTOUT","LONGISSU","LONGRET","PCTTOTAL","PCTFTOT","PCTFCOMP","PCTSTOT","PCTSFORM","PCTLTOT","PCTLTAXP","PCTLOTHG","PCTLCHAR","PPCSTOT","PPSALWG","PPEMPBEN","PPITOTAL","PPISALWG","PPIEMBEN","PPSTOTAL","PPSPUPIL","PPSSTAFF","PPSGENAD","PPSSCHAD","Avg.Comp"
"1",2700001,"Mountain Iron-Buhl School District",712,146,104,91,4545,4251,63,81,0,104,835,50550,1498,625,2108,"27137","N","20260",507,8146,442,175,0,133,134,5171,3618,253,0,1300,2533,294,294,0,1642,37,132,428,26135,6871,4021,1496,3915,2601,954,2547,128,167,369,352,1531,409,18168,224,872,29340,0,417,100,5.4,2.1,63.5,44.4,31.1,3.6,20.6,1.6,13215,7931,2951,7722,5130,1882,5024,252,329,728,694,19.1
"2",2700005,"United South Central School District",2134,220,160,126,5790,5517,10,43,0,154,1407,53699,2061,640,2452,"27043","N","N",707,12242,554,170,0,215,169,7246,5554,818,7,867,4442,3509,3509,0,45,4,383,501,10618,9142,5639,1927,5729,3974,1221,2722,206,237,523,446,1310,691,561,186,729,24889,0,1239,100,4.5,1.4,59.2,45.4,36.3,28.7,0.4,3.1,12646,7976,2726,8103,5621,1727,3850,291,335,740,631,20.5
"3",2700006,"Maple River School District",2135,207,180,133,5991,5802,26,17,0,137,1430,64451,1945,636,2423,"27013","359","31860",927,13103,489,146,0,213,130,9420,7178,1379,4,859,3194,1903,1903,0,63,151,855,222,12460,11697,6706,1789,6241,4431,1159,4290,428,533,239,523,2567,1166,473,286,4,0,0,455,100,3.7,1.1,71.9,54.8,24.4,14.5,1.6,6.5,12006,7234,1930,6732,4780,1250,4628,462,575,258,564,21.1
"4",2700007,"Kingsland Public School District",2137,133,176,91,5023,4773,7,66,0,133,1118,59087,1802,675,2166,"27045","462","40340",557,8078,374,160,0,135,79,5269,4295,339,0,635,2435,1685,1685,0,2,48,510,190,7379,6468,3799,977,3755,2515,634,2054,107,229,208,332,1178,659,333,347,231,18095,0,767,100,4.6,2,65.2,53.2,30.1,20.9,0.6,6.3,11056,6820,1754,6741,4515,1138,3688,192,411,373,596,21
"5",2700008,"St. Louis County School District",2142,370,493,239,17435,15739,71,49,19,604,2851,57221,7021,709,8015,"27137","N","20260",2007,39951,1860,506,0,575,779,22890,17628,2493,0,2769,15201,6434,6434,0,6756,406,643,962,37999,29197,16988,6655,18391,11543,4455,9060,495,813,1075,1454,5223,1746,5900,947,1955,56845,0,3715,100,4.7,1.3,57.3,44.1,38,16.1,17.9,1.6,14162,8464,3316,9163,5751,2220,4514,247,405,536,724,20.1
"6",2700013,"Waterville-Elysian-Morristown Public School District",2143,176,201,93,6707,6560,21,12,3,70,1367,67444,2266,769,2738,"27079","378","33460",769,10319,503,83,228,166,26,6879,5441,847,17,574,2937,1913,1913,0,52,103,539,330,10675,9916,5814,2422,6047,3794,1732,3102,253,364,223,537,1725,767,608,150,1,17,0,5,100,4.9,0.8,66.7,52.7,28.5,18.5,1.5,5.2,12537,7560,3150,7863,4934,2252,4034,329,473,290,698,19.1
"7",2700017,"Chisago Lakes School District",2144,625,991,530,21544,20774,40,230,0,369,4978,88003,7101,929,8263,"27025","378","33460",3451,46708,835,197,0,474,164,32856,23460,4787,929,3680,13017,8433,8433,0,164,1,3029,1390,55350,42191,25219,8208,26221,17570,5851,12313,1099,2497,925,1610,6182,3657,11105,1716,338,70805,65410,2705,100,1.8,0.4,70.3,50.2,27.9,18.1,0.4,6.5,11672,7308,2378,7598,5091,1695,3568,318,724,268,467,21.8
"8",2700019,"Minnewaska School District",2149,344,272,179,9502,9195,32,54,0,126,1967,61484,3308,616,4311,"27121","N","N",1245,20696,848,194,0,283,371,13627,8558,4078,27,964,6221,3824,3824,0,85,32,819,1461,21132,17401,9965,2739,12041,8300,2338,4169,189,414,230,372,2964,1191,2388,604,739,15490,0,8070,100,4.1,0.9,65.8,41.4,30.1,18.5,0.6,4,13537,8004,2200,9671,6667,1878,3349,152,333,185,299,20.4
"9",2700021,"Eveleth-Gilbert School District",2154,241,252,132,8811,8626,30,12,0,111,1733,56009,3032,677,3931,"27137","N","20260",944,13304,545,168,0,186,191,8551,6878,770,0,903,4208,463,463,0,2873,54,328,490,13053,11825,6854,1902,6482,4468,1183,4650,150,571,431,400,3098,693,696,527,5,2685,1280,481,100,4.1,1.3,64.3,51.7,31.6,3.5,22,2.5,12198,7261,2015,6867,4733,1253,4926,159,605,457,424,19.6
"10",2700022,"Wadena-Deer Creek School District",2155,266,237,144,7953,7532,68,0,0,183,2073,44847,2355,670,3269,"27159","N","N",1042,14143,955,321,0,483,151,10765,8292,808,3,1662,2423,1280,1280,0,23,117,675,328,17682,12420,8155,1865,6853,4870,1207,3787,224,458,282,460,2363,1780,4654,508,100,14518,15038,589,100,6.8,2.3,76.1,58.6,17.1,9.1,1,4.8,10949,7826,1790,6577,4674,1158,3634,215,440,271,441,19.7
